,id,utterance,sarcasm
151,1_3259_2,"No, I mean Princess Leia, of course Bernadette, she's a wonderful girl and she loves you very much.",True
152,1_3287_1,"Oh, sure. And while we're at it, why don't we put our hands behind our backs, have an old-fashioned eating contest?",True
153,1_3287_2,"And while we're at it, why don't you put your hands behind your back, have an old-fashioned food contest?",True
154,1_3293_1,Leonard's work is nearly as amazing as third graders growing lima beans in wet paper towels.,True
155,1_3293_2,Leonard's work is almost as amazing as third-year students who grow lima grains in wet paper towels.,True
156,1_3333_1,"Okay, I got a bone to pick with you.",False
157,1_3333_2,"Okay, I have a bone to choose with you.",False
158,1_3348_1,"Raj, you should've seen Leonard's experiment. The interference pattern was so cool when the electron beam was on.",False
159,1_3348_2,"Raj, you should have seen Leonard's experience.",False
160,1_3371_1,"I was going to ask Leonard to do it, but he seemed a bit emotionally unstable and you don't want someone like that operating heavy machinery.",False
161,1_3371_2,"I was going to ask Leonard to do it, but he seemed a little emotionally unstable and you don't want someone like him to operate heavy machines.",False
162,1_3419_1,"Oh, we don't need to talk about that anymore. Leonard covered it pretty well in the car.",True
163,1_3419_2,"We don't need to talk about it anymore, Leonard covered it pretty well in the car.",True
164,1_3476_1,Don't you think looking for a new city to live in is a bit of an overreaction?,False
165,1_3476_2,Don't you think looking for a new city where to live is a little exaggerated?,False
166,1_3545_1,"I understand your point, but given a choice, Jews always go with Chinese food.",True
167,1_3545_2,"I understand your point of view, but with a choice, Jews always go with Chinese food.",True
168,1_3573_1,"Well, I always figured it was to study us, discover our weaknesses, and report back to your alien overlords.",True
169,1_3573_2,"Well, I always thought it was to study us, discover our weaknesses, and report to your alien lords.",True
170,1_3599_1,Why don't you keep that stuff in the bathroom?,False
171,1_3599_2,Why don't you keep these things in the bathroom?,False
172,1_3649_1,"Oh, no, no, I said I'm inviting you to come with me to Stan Lee's house.",False
173,1_3649_2,"Oh, no, no, I said I'd invite you to come with me to Stan Lee's.",False
174,1_3660_1,There a new girlfriend in there? 'Cause you might need one.,True
175,1_3660_2,Is there a new girlfriend in there?,True
176,1_3707_1,"Oh, I'm so glad you asked it like that. You.",True
177,1_3707_2,I'm so glad you asked like that.,True
178,1_3766_1,Can we please talk about something else? Maybe something vaguely related to life as we know it on this planet?,True
179,1_3766_2,Perhaps something vaguely related to life as we know it on this planet?,True
180,1_3837_1,"Excuse me, I'm thirsty, so I'm going to go to the refrigerator and get myself a refreshing beverage.",False
181,1_3837_2,"Excuse me, I'm thirsty, so I'm gonna go to the refrigerator and get me a refreshing drink.",False
182,1_3840_1,"I read a study online that walking after a meal not only aids in digestion, but increases serotonin, and you know me, if there's one thing I like more than a refreshing beverage, it's serotonin. Bye-bye.",False
183,1_3840_2,"I've read an online study that works after a meal not only helps digestion, but increases serotonin, and you know me, if there's one thing I like more than a refreshing drink, it's serotonin.",False
184,1_3842_1,"So what, you're just gonna walk up and down the stairs?",False
185,1_3842_2,"So what, you're just going up and down the stairs?",False
186,1_3911_1,"That's very thoughtful, but I think I'll finish my coffee first.",False
187,1_3911_2,"That's very nice, but I'm gonna finish my coffee first.",False
188,1_4031_1,"In 1917, when Albert Einstein established the theoretic foundation for the laser in his paper <i>""Zur Quantentheorie der</i> <i>Strahlung,""</i> his fondest hope was that the resultant device be bitchin'.",True
189,1_4031_2,"In 1917, when Albert Einstein established the theoretical foundation for laser in his paper <i>""Zur Quantentheorie der</i> <i>Strahlung,""</i> his most sincere hope was that the resulting device was bitchy.",True
190,1_4145_1,A lot of people are working on that research. So what is all this?,True
191,1_4145_2,"A lot of people are working on this research, so what is it?",True
192,1_4281_1,It was the kind of thing that makes it kind of hard to face her now.,False
193,1_4281_2,It's the kind of thing that makes it difficult to face him now.,False
194,1_4286_1,"All right, all right. He can buy his own desk.",False
195,1_4286_2,He can buy his own office.,False
196,1_4290_1,I just have a question. Does Bernadette ever talk about me?,False
197,1_4290_2,Is Bernadette talking about me?,False
198,1_4352_1,He does it all the time. He's a cornucopia of social awkwardness.,False
199,1_4352_2,"He does it all the time, it's a cornucopia of social malfeasance.",False
200,1_4477_1,I just want to ask you a few questions about Howard Wolowitz.,False
201,1_4544_1,"Yes. In fact, our menses are synchronized. Penny. Bernadette tells me you're planning a girls' night.",False
202,1_4544_2,"Actually, our rules are synchronized, Penny, Bernadette told me you were planning a girls' party.",False
203,1_4552_1,"...so anyway, to make a long story short, turns out I have an unusually firm cervix.",False
204,1_4552_2,"...so anyway, to make a long story short, it turns out that I have an exceptionally firm cervix.",False
205,1_4576_1,"Bernadette dared me to tell a dirty story. ""The Miller's Tale"" by Chaucer is the dirtiest story I know. It would have been hidden in sock drawers if people in the 14th century had worn socks.",False
206,1_4576_2,"Bernadette dared to tell me a dirty story. Chaucer's ""The Miller's Tale"" is the filthiest story I know. It would have been hidden in sock drawers had the people of the 14th century worn socks.",False
207,1_4603_1,Is it possible that she was going for your cheek and you moved and she accidentally got lip? That happens with me and my mom all the time.,False
208,1_4603_2,Is it possible she's leaving for your cheek and you're moving and she accidentally had a lip?,False
209,1_4639_1,"Well, I'm just glad you finally found yourself a keeper.",False
210,1_4639_2,I'm glad you finally got yourself a guard.,False
211,1_4743_1,"Oh, and the science dudes want to talk science with you. What do you want to talk about-- rocks, dinosaurs, our friend the beaver?",True
212,1_4743_2,"Oh, and scientists want to talk about science with you.",True
213,1_4760_1,"In the bedrooms of ten-year- old girls, where they belong.",True
214,1_4760_2,"In the rooms of ten-year-old girls, where they belong.",True
215,1_4789_1,"I don't know. Somebody bigger and... Yeah, sure. Why not you?",True
216,1_4789_2,"I don't know, someone bigger and... of course, why don't you?",True
217,1_4792_1,"Obviously, we're no longer a Justice League. We have no choice but to switch to our Muppet Baby costumes.",False
218,1_4792_2,"Obviously, we are no longer a League of Justice. We have no choice but to move on to our Muppet baby costumes.",False
219,1_4850_1,I understand. Your loyalty is admirable. But what if I were to up the ante?,False
220,1_4850_2,"I understand, your loyalty is admirable, but if I were at the front?",False
221,1_4949_1,"Certainly. I'd like to raise two points. Number one, I think they <i>are</i> talking about penises. And number two, these mimosas are kicking my little brown ass.",False
222,1_4949_2,"Of course. I'd like to raise two points. Number one, I think they <i>are talking about penis. And number two, these mimosas are kicking my little brown ass.",False
223,1_4967_1,We might be starting to zero in on your problem.,True
224,1_4967_2,Maybe we're starting to zero on your problem.,True
225,1_4995_1,"Hey, you taught me something. Who would have thought it?",True
226,1_4995_2,You taught me something.,True
227,1_5058_1,"An entire dinner to talk about your research? Where you going, the drive-thru at Jack in the Box?",True
228,1_5058_2,"Where are you going, Jack's drive-thru in the box?",True
229,1_5109_1,"Yeah, but you were just sleeping, because I forboded you to have sex.",False
230,1_5109_2,"Yeah, but you were asleep, because I didn't allow you to sleep.",False
231,1_5134_1,"Oh, yeah, yeah. It's real great. Today I drove to Van Nuys for an audition I thought was going to be for a cat food commercial. Turned out to be porn.",True
232,1_5134_2,"Today, I went to Van Nuys for an audition that I thought was for a cat food ad.",True
233,1_5156_1,"That's got to be fun for you, huh? Watching Hofstadter suck the saliva out of your sister's mouth?",True
234,1_5156_2,Is it fun for you to watch Hofstadter suck the saliva from your sister's mouth?,True
235,1_5166_1,"Yeah, it's a great time to be alive, isn't it?",True
236,1_5166_2,"Yeah, it's a good time to be alive, isn't it?",True
237,1_5169_1,I'm not saying that you're not fun. You're the most fun person I know.,False
238,1_5169_2,"I'm not saying you're not funny, but that you're the funniest person I know.",False
239,1_5211_1,"Saying that while holding a snowflake is a bit heavy-handed, don't you think?",True
240,1_5211_2,"Saying that while holding a snowflake is a little heavy, don't you think?",True
241,1_5212_1,"I'm sorry, Sheldon bought a loom and learned how to weave?",False
242,1_5212_2,"Sorry, did Sheldon buy a job and learn how to weave?",False
243,1_5496_1,"Okay, Amy, you're being silly. I'm not concerned about who hangs out with who. And I certainly don't have a problem with Leonard's new girlfriend who wears way too much makeup. Ooh, these are cute. Of course if I buy them, I'll have to rent my womb out to a gay couple.",True
244,1_5496_2,And I don't have a problem with Leonard's new girlfriend who's wearing too much makeup.,True
245,1_5571_1,"Yes, I'd like a seven-day course of penicillin, some, uh, syrup of ipecac-- to induce vomiting-- and a mint.",True
246,1_5571_2,"Yeah, I'd like a seven-day penicillin class, an ipeca syrup... to cause vomiting... and a mint.",True
247,1_5572_1,"He drank from Leonard's glass. ""He drank from Leonard's glass""-- the words they'll be carving into my tombstone.",True
248,1_5572_2,"He drank from Leonard's glass. ""He drank from Leonard's glass"" - the words they're going to burn in my gravestone.",True
249,1_5580_1,"Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.",True
250,1_5580_2,"Okay, okay, as Jewish mothers approach their sons in a casual way, the di-da.",True
251,1_5581_1,I gargled with tequila and may have swallowed a teeny bit.,False
252,1_5581_2,I scratched tequila and maybe swallowed a little.,False
253,1_5617_1,is an event that's like a heart attack.,True
254,1_5617_2,It's an event that looks like a heart attack.,True
255,1_5627_1,"Your girlfriend and your ex-girlfriend are hanging out together? Oh, yeah, that can only be good for you.",True
256,1_5627_2,Your girlfriend and your ex-girlfriend hang out?,True
257,1_5679_1,"I'd like to respond to that sarcastically: Yes, I relish the thought of a stranger covering my body with oil and rubbing it.",True
258,1_5679_2,"I would like to answer that sarcasticly: Yes, I am delighted with the thought of a stranger who covers my body with oil and rubs it.",True
259,1_5699_1,"Congratulations and welcome temporarily aboard. Here's your I.D. card, your key and your lapel pin. Which Leonard was too cool to wear.",True
260,1_5699_2,"Congratulations and welcome on board temporarily. Here's your ID card, key and pin.",True
261,1_5751_1,Of course you do. You're a cutie pie! Any girl would be lucky to have you!,False
262,1_5751_2,"Of course, you're a cute pie, any girl would be lucky to have you!",False
263,1_5758_1,"Oh, I could so see you being the face of hemorrhoids.",True
264,1_5758_2,"Oh, I could see you being the face of hemorrhoids.",True
265,1_5786_1,"All right, so technically it's not a dinner date. I suppose you could call it a, uh, dinfast date. But if you did, you'd open yourself to peer-based mocking, such as, ""Hey, Leonard, how was your dinfast with Priya last night?""",False
266,1_5786_2,"Technically, it's not a dinner date, but if that were the case, you'd open up to peer ridicule, like, ""Hey, Leonard, how was your dinner with Priya last night?""",False
267,1_5880_1,"When you're done copping a feel, that goes on my wrist.",True
268,1_5880_2,"When you're done feeling, it's on my wrist.",True
269,1_5919_1,"Because you don't have a girlfriend? Well, good Lord, if that becomes a reason not to play Dungeons & Dragons, this game's in serious trouble.",False
270,1_5919_2,"Because you don't have a girlfriend? Well, for God's sake, if this becomes a reason not to play Dungeons & Dragons, this game is in serious difficulty.",False
271,1_5953_1,Here's some other fun news on the Raj/Emily front. He gave her a pair of diamond earrings and leased her a car.,False
272,1_5953_2,Here's more fun news on the Raj/Emily front. He gave him a pair of diamond earrings and rented him a car.,False
273,1_5964_1,Smart. Whisper so the deaf chick can't hear you.,True
274,1_5964_2,Whisper so the deaf can't hear you.,True
275,1_6020_1,You just got off the list. Would you like back on it? This'll just take a moment. It's on a five and a quarter inch floppy.,True
276,1_6020_2,"You just got off the list, you want to go back, it's gonna take a while, it's on a five-inch, quarter-inch floppy disk.",True
277,1_6032_1,"You see betrayal in others, but not yourself.",True
278,1_6039_1,I don't know what I'm going to do. I don't want to break up over this.,False
279,1_6039_2,"I don't know what I'm gonna do, I don't want to break up with this.",False
280,1_6065_1,"Frankly, Mom, I'm encouraged to see how advanced your group has become-- willing to sail out into the ocean without fear of falling off the edge.",True
281,1_6065_2,"Frankly, Mom, I'm encouraged to see how advanced your group has become, ready to sail in the ocean without fear of falling off the board.",True
282,1_6092_1,"We don't say that, either. I'll make you a list. Oh, that would be mighty white of you.",False
283,1_6092_2,"We don't say that either, I'll make you a list.",False
284,1_6113_1,"So, this spring, I get to go to the International Space Station. Oh, my word, a trip to the heavens.",False
285,1_6113_2,"So, this spring, I'm going to the International Space Station.",False
286,1_6134_1,"No, I'm just allergic to people who get Nobel Prizes for no good reason.",True
287,1_6134_2,"No, I'm just allergic to people getting Nobel prizes for no good reason.",True
288,1_6165_1,"Yes, there's nothing quite like the slightly widened eyes of mildly startled.",True
289,1_6165_2,"Yes, there is nothing quite like slightly enlarged eyes slightly surprised.",True
290,1_6183_1,You have a thing of paper clips right there.,False
291,1_6183_2,You got a trombone thing right here.,False
292,1_6188_1,"Oh, my God, that's where I know you from.",True
293,1_6188_2,"Oh, my God, that's where I know you.",True
294,1_6211_1,"No. You mean this was all a ruse? Oh, how could I be so stu...",False
295,1_6211_2,Was that a trick?,False
296,1_6221_1,"Well, if you don't mind looking like an orange traffic cone, great.",True
297,1_6221_2,"If you don't mind looking like an orange cone, great.",True
298,1_6355_1,"said horrible things about each other in public... all in all, a pretty magical night.",True
299,1_6355_2,"He said horrible things about each other in public... on the whole, a pretty magical night.",True
300,1_6370_1,"Oh, of course he is. She's very interesting. Did you know, when she was 14, she severed the webbing between her own toes?",True
301,1_6370_2,"She's very interesting, you knew, at 14, that she cut the canvas between her own toes?",True
302,1_6426_1,"You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.",True
303,1_6426_2,"You know, the holidays are just around the corner, maybe he wants to see if he can accommodate the other testicle up there.",True
304,1_6427_1,Hmm. That's too bad. We could have spent New Year's Eve waiting for the ball to drop.,True
305,1_6427_2,It's too bad we could have spent the night before the year waiting for the ball to fall.,True
306,1_6428_1,Sure. You want to see what all the scientists are wearing this year.,True
307,1_6428_2,You want to see what all scientists wear this year.,True
308,1_6472_1,You'd think a winner could make a decent cup of cocoa.,True
309,1_6472_2,You think a winner could make a good cup of cocoa.,True
310,1_6504_1,"Oh, I see why you're confused. No, her news sounded important, but what you're forgetting is, it was an achievement in the field of biology. That's all about yucky, squishy things.",True
311,1_6504_2,"No, his news seemed important, but what you're forgetting was a success in biology.",True
312,1_6534_1,"No, but maybe she wants a man with a pocket watch.",False
313,1_6627_1,"Well, yeah, sex with you is pretty great. Have you ever tried it?",False
314,1_6627_2,Have you ever tried sleeping with you?,False
315,1_6645_1,"Well, that wady took high-wes pictures of my junk wast night for Cwaigswist.",False
316,1_6645_2,"Well, that wady took pictures of my bazaar for Cwaigswist.",False
317,1_6648_1,You mean for a person whose neck massages feel like an eagle is trying to carry you to its nest?,True
318,1_6648_2,You mean for a person whose neck massages feel like an eagle is trying to take you to his nest?,True
319,1_6683_1,"Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""",True
320,1_6683_2,"The other astronauts would love to go through space with a guy named ""Crash"".",True
321,1_6766_1,Maybe that's because I'm not being challenged. It's the same reason Einstein failed math.,False
322,1_6766_2,"Maybe it's because I'm not being challenged, that's the same reason Einstein failed.",False
323,1_6769_1,"Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.",True
324,1_6769_2,"I hope your hands are stable, it's the width of a single hair, but it's just biology, so I'm sure it's not a problem for a genius like you.",True
325,1_6835_1,"Oh, screw her. She's just lucky we let her hang out with us.",False
326,1_6835_2,She's lucky we let her hang out with us.,False
327,1_6860_1,"I'm sorry, it's the bad boy attitude that comes with this hair.",False
328,1_6860_2,"I'm sorry, it's the bad boy's attitude that comes with that hair.",False
329,1_7047_1,"Also instead of just living in your mother's house, you could actually live inside her body.",True
330,1_7047_2,"And instead of living in your mother's house, you could live inside her body.",True
331,1_7082_1,"...to all the good times we had, like, uh, when we went camping and spent that night telling each other all our secrets. I told him I'm addicted to pedicures and he told me he lost his virginity to his cousin.",False
332,1_7082_2,I told him I'm addicted to pedicures and he told me he lost his virginity to his cousin.,False
333,1_7089_1,"How about you? Did you have a fun night? Yeah, we, uh, made gift bags, had wine, and then went online and saw this.",True
334,1_7089_2,"We made gift bags, we drank wine, and then we went to see it online.",True
335,1_7186_1,"Not exactly. Listen, if you don't mind, I'm not really up for chatting. I'm just going to sit here quietly and let my life flash before my eyes.",False
336,1_7186_2,"Look, if you don't mind, I'm not really ready to chat, I'm just gonna sit here quietly and let my life flash in front of my eyes.",False
337,1_7281_1,"Darn. If you weren't busy, I'd ask you to join us.",True
338,1_7281_2,"If you weren't busy, I'd ask you to join us.",True
339,1_7341_1,I am talking to a man in space. If you don't have the (walkie-talkie static) then he might as well be at the Coffee Bean over on Lake Street.,False
